user_id,registration_date,age,gender,city,country,first_order_date,last_order_date,total_orders,avg_order_items,total_revenue,avg_order_value,order_frequency_per_year,days_since_first_order,days_since_last_order,days_since_registration,registration_year,registration_month,days_until_first_order,age_class
29,2023-09-22 07:18:00+00:00,23,M,Pudsey,United Kingdom,2023-11-29 07:18:00+00:00,2023-11-29 07:18:00+00:00,1,2.0,65.68000030517578,65.68000030517578,6.378087297669436e-15,58.3417638791088,58.341763905150465,126.34176392288195,2023,9,68.0,19-30
77,2023-09-21 09:15:00+00:00,67,F,Meaux,France,2023-10-18 09:15:00+00:00,2023-10-18 09:15:00+00:00,1,2.0,223.0,223.0,3.71141986674794e-15,100.2605138791088,100.26051390515045,127.26051392288196,2023,9,27.0,61-70
80,2020-06-26 17:49:00+00:00,66,F,Haan,Germany,2023-11-21 17:49:00+00:00,2023-11-21 17:49:00+00:00,1,1.0,24.63999938964844,24.63999938964844,5.646262657647007e-15,65.90356943466435,65.90356946070602,1308.9035694784375,2020,6,1243.0,61-70
99,2021-09-20 10:08:00+00:00,44,M,Nîmes,France,2023-11-19 10:08:00+00:00,2023-11-19 10:08:00+00:00,1,3.0,89.98999977111816,89.98999977111816,5.454245631673303e-15,68.22370832355324,68.22370834959492,858.2237083673264,2021,9,790.0,41-50
132,2023-08-28 03:57:00+00:00,69,M,Angers,France,2023-10-01 03:57:00+00:00,2023-10-01 03:57:00+00:00,1,3.0,515.9199905395508,515.9199905395508,3.1673867543944465e-15,117.48134721244213,117.48134723848379,151.4813472562153,2023,8,34.0,61-70
134,2023-06-16 06:29:00+00:00,34,F,Mannheim,Germany,2023-10-12 06:29:00+00:00,2023-10-12 06:29:00+00:00,1,2.0,59.0600004196167,59.0600004196167,3.4980596361316608e-15,106.37579165688658,106.37579168292824,224.3757917006597,2023,6,118.0,31-40
167,2023-11-15 02:46:00+00:00,24,M,Alcoy,Spain,2023-12-17 02:46:00+00:00,2023-12-17 02:46:00+00:00,1,1.0,228.38999938964844,228.38999938964844,9.180924504564694e-15,40.53065276799769,40.530652794039355,72.53065281177084,2023,11,32.0,19-30
168,2019-01-11 15:56:00+00:00,54,F,Selby,United Kingdom,2023-11-04 15:56:00+00:00,2023-11-04 15:56:00+00:00,1,1.0,98.0,98.0,4.484209542796896e-15,82.98204165688658,82.98204168292824,1840.9820417006597,2019,1,1758.0,51-60
173,2023-08-31 08:30:00+00:00,66,M,Granada,Spain,2023-11-25 08:30:00+00:00,2023-11-25 08:30:00+00:00,1,1.0,153.9499969482422,153.9499969482422,5.973644667280272e-15,62.2917638791088,62.29176390515047,148.29176392288196,2023,8,86.0,61-70
203,2023-10-17 13:31:00+00:00,37,M,Stuttgart,Germany,2023-12-17 13:31:00+00:00,2023-12-17 13:31:00+00:00,1,1.0,45.0,45.0,9.283519524348356e-15,40.08273610133102,40.082736127372684,101.08273614510418,2023,10,61.0,31-40
231,2019-03-17 08:25:00+00:00,55,M,Orpington,United Kingdom,2023-11-14 08:25:00+00:00,2023-12-21 08:25:00+00:00,2,1.5,905.880012512207,452.9400062561035,1.0153698463496419e-14,73.29523610133103,36.29523612737269,1776.2952361451041,2019,3,1703.0,51-60
245,2019-07-11 02:37:00+00:00,65,M,Perwez,Belgium,2023-10-30 02:37:00+00:00,2023-10-30 02:37:00+00:00,1,1.0,44.5,44.5,4.202867408264298e-15,88.53690276799769,88.53690279403935,1660.5369028117707,2019,7,1572.0,61-70
269,2023-11-17 12:35:00+00:00,20,F,Bogatynia,Poland,2023-12-04 12:35:00+00:00,2023-12-04 12:35:00+00:00,1,2.0,209.9299964904785,209.9299964904785,7.004847144708222e-15,53.12162499021991,53.121625016261575,70.12162503399306,2023,11,17.0,19-30
276,2023-02-09 16:41:00+00:00,15,F,Newry,United Kingdom,2023-10-13 16:41:00+00:00,2023-10-13 16:41:00+00:00,1,1.0,117.0,117.0,3.5455555616397527e-15,104.95079165688658,104.95079168292823,350.9507917006597,2023,2,246.0,0-18
360,2023-08-13 11:11:00+00:00,69,M,Burton Latimer,United Kingdom,2023-12-25 11:11:00+00:00,2023-12-25 11:11:00+00:00,1,3.0,189.48000144958496,189.48000144958496,1.1563373062689369e-14,32.179958323553244,32.17995834959491,166.1799583673264,2023,8,134.0,61-70
